Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Miguel Rojas","LAD","3B",167.2,,,,0,,0,2,,2,,,,,,,,-2,-1,-0.7800955203741695,"Miguel Rojas",7802,500743
"Jose Iglesias","SDP","3B",170,,,,0,,0,-1,,-1,,,,,,,,-2,-1,-0.8342333668619581,"Jose Iglesias",10231,578428
"Vinny Capra","- - -","3B",137,,,,0,,0,0,,0,,,,,,,,-2,-1,-0.8488768994055316,"Vinny Capra",25040,681962
"Colt Keith","DET","3B",254.1,,,,0,,-1,1,,0,,,,,,,,-2,-2,-0.8878917574346243,"Colt Keith",27899,690993
"Gio Urshela","ATH","3B",421.1,,,,0,,-1,-6,,-7,,,,,,,,-2,-2,-0.898795975102455,"Gio Urshela",10681,570482
"Vidal Bruján","- - -","3B",84,,,,0,,1,-3,,-2,,,,,,,,-1,-2,-0.9217309387601187,"Vidal Brujan",20536,660644
"Maximo Acosta","MIA","3B",77.1,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.9401849420169693,"Maximo Acosta",27963,691185
"Noelvi Marte","CIN","3B",287.1,,,,0,,0,-4,,-4,,,,,,,,-2,-2,-0.9640470851656675,"Noelvi Marte",26517,682622
"Will Wagner","- - -","3B",168.2,,,,-1,,-1,-4,,-6,,,,,,,,-2,-2,-1.0261049806245297,"Will Wagner",29634,695238
"Will Wilson","CLE","3B",117,,,,0,,0,0,,0,,,,,,,,-2,-2,-1.0404468648486485,"Will Wilson",25434,669717
"Tristan Gray","TBR","3B",33,,,,0,,0,-2,,-2,,,,,,,,-2,-1,-1.0670401852656999,"Tristan Gray",19877,656484
"Jose Miranda","MIN","3B",81,,,,0,,0,0,,0,,,,,,,,-2,-1,-1.1789427856869694,"Jose Miranda",20538,669304
"Max Muncy","ATH","3B",250.2,,,,0,,-1,1,,0,,,,,,,,-2,-2,-1.1797149815442691,"Max Muncy",29779,691777
"Jon Berti","CHC","3B",194,,,,0,,0,1,,1,,,,,,,,-2,-2,-1.2196501832493123,"Jon Berti",12037,542932
"Isaac Paredes","HOU","3B",766.2,,,,0,,0,-4,,-4,,,,,,,,-4,-3,-1.3201532092816777,"Isaac Paredes",20036,670623
"Nate Eaton","BOS","3B",73,,,,0,,-1,-2,,-3,,,,,,,,-2,-2,-1.3288782308892797,"Nate Eaton",25055,681987
"Luke Williams","ATL","3B",24,,,,0,,0,0,,0,,,,,,,,-2,-1,-1.3463967556879683,"Luke Williams",19931,663897
"Connor Norby","MIA","3B",690,,,,0,,0,-4,,-5,,,,,,,,-4,-3,-1.401156989705548,"Connor Norby",29592,681393
"Kevin Newman","LAA","3B",163.1,,,,0,,0,-4,,-4,,,,,,,,-2,-2,-1.4300270556666876,"Kevin Newman",17696,621028
"Luis Urías","ATH","3B",48,,,,0,,0,-1,,-1,,,,,,,,-2,-2,-1.5229327280452392,"Luis Urias",16622,649966
"Dylan Moore","SEA","3B",80,,,,0,,0,-1,,-1,,,,,,,,-2,-2,-1.5575808122373411,"Dylan Moore",18042,664238
