Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Heriberto Hernández","MIA","RF",80,,,,,0,0,0,,0,,,,,,,,2,1,1.0855729659005928,"Heriberto Hernandez",24878,681715
"Daniel Schneemann","CLE","RF",59,,,,,0,0,2,,2,,,,,,,,1,1,0.9426590760597077,"Daniel Schneemann",25180,682177
"Ezequiel Duran","TEX","RF",35,,,,,1,0,0,,1,,,,,,,,0,1,0.8818660946741372,"Ezequiel Duran",23733,677649
"Jake McCarthy","ARI","RF",85,,,,,-1,2,0,,1,,,,,,,,1,1,0.8770474508041204,"Jake McCarthy",21622,664983
"Nathan Church","STL","RF",16.1,,,,,0,0,1,,1,,,,,,,,1,1,0.7831505494449895,"Nathan Church",31357,701675
"Michael A. Taylor","CHW","RF",225.2,,,,,-2,2,5,,5,,,,,,,,2,1,0.7658056456239615,"Michael A. Taylor",11489,572191
"Andrew McCutchen","PIT","RF",53,,,,,0,0,2,,2,,,,,,,,1,1,0.7472828483780862,"Andrew McCutchen",9847,457705
"Luis Rengifo","LAA","RF",14.1,,,,,0,0,1,,1,,,,,,,,0,1,0.7441159843429499,"Luis Rengifo",19858,650859
"Blake Dunn","CIN","RF",94,,,,,-1,0,2,,1,,,,,,,,1,1,0.7159636072649833,"Blake Dunn",29487,694362
"José Caballero","- - -","RF",210.2,,,,,1,2,3,,6,,,,,,,,2,1,0.6129523373343428,"Jose Caballero",23401,676609
"Jacob Melton","HOU","RF",9,,,,,0,0,1,,1,,,,,,,,1,1,0.5793680334114873,"Jacob Melton",31661,689200
"Ryan Noda","- - -","RF",35,,,,,1,0,1,,2,,,,,,,,1,1,0.5506442400642265,"Ryan Noda",23312,676116
"Eli White","ATL","RF",351.2,,,,,-1,-1,4,,2,,,,,,,,2,2,0.5177674091979538,"Eli White",19346,642201
"Jerar Encarnacion","SFG","RF",95,,,,,0,0,1,,1,,,,,,,,2,1,0.5145901042496164,"Jerar Encarnacion",21871,666464
"Daniel Johnson","- - -","RF",35,,,,,0,0,2,,2,,,,,,,,1,1,0.4947361432136441,"Daniel Johnson",19643,669288
"Dylan Beavers","BAL","RF",121.1,,,,,1,0,1,,2,,,,,,,,0,1,0.4904113213910861,"Dylan Beavers",31695,687637
"Vidal Bruján","- - -","RF",32,,,,,0,0,1,,1,,,,,,,,1,1,0.43503047038160125,"Vidal Brujan",20536,660644
"Jackson Chourio","MIL","RF",133,,,,,0,0,1,,1,,,,,,,,1,1,0.4318687593175038,"Jackson Chourio",28806,694192
"Jakob Marsee","MIA","RF",26,,,,,0,1,0,,1,,,,,,,,1,0,0.40181374448362084,"Jakob Marsee",31370,805300
"Akil Baddoo","DET","RF",12,,,,,0,0,0,,0,,,,,,,,1,0,0.3861861198662895,"Akil Baddoo",22168,668731
"Kody Clemens","MIN","RF",63,,,,,1,0,-1,,0,,,,,,,,0,1,0.3785181563593327,"Kody Clemens",20572,665019
"Rob Refsnyder","BOS","RF",176.2,,,,,0,0,0,,0,,,,,,,,0,1,0.3753188493415207,"Rob Refsnyder",13770,608701
"Jorge Barrosa","ARI","RF",26,,,,,0,0,-1,,-1,,,,,,,,0,0,0.3708002338471672,"Jorge Barrosa",23968,678489
"Drew Gilbert","SFG","RF",213,,,,,-1,0,-2,,-3,,,,,,,,1,1,0.3684051494957852,"Drew Gilbert",31545,687551
"Nate Eaton","BOS","RF",91,,,,,1,0,-1,,0,,,,,,,,0,1,0.3600170749881043,"Nate Eaton",25055,681987
"Jarren Duran","BOS","RF",3,,,,,0,0,0,,0,,,,,,,,0,0,0.3509152056772474,"Jarren Duran",24617,680776
"Kevin Pillar","TEX","RF",13.1,,,,,0,0,1,,1,,,,,,,,0,0,0.3326256898056479,"Kevin Pillar",12434,607680
"Adam Frazier","- - -","RF",51.1,,,,,0,0,1,,1,,,,,,,,0,0,0.317803377130191,"Adam Frazier",15223,624428
"Carlos Cortes","ATH","RF",140,,,,,0,0,-1,,-1,,,,,,,,0,1,0.31422526225693703,"Carlos Cortes",21842,666126
"Will Brennan","CLE","RF",32,,,,,1,0,-1,,0,,,,,,,,0,0,0.3000588305349571,"Will Brennan",25660,686823
"Eddie Rosario","ATL","RF",8,,,,,0,0,1,,1,,,,,,,,0,0,0.2838851305864022,"Eddie Rosario",12155,592696
"Owen Caissie","CHC","RF",38.1,,,,,0,-1,1,,0,,,,,,,,1,0,0.28158971015791023,"Owen Caissie",27496,683357
"Griffin Conine","MIA","RF",64,,,,,1,0,0,,1,,,,,,,,0,0,0.25972210448193755,"Griffin Conine",21626,665052
"Nick Maton","CHW","RF",1,,,,,0,0,0,,0,,,,,,,,0,0,0.2328284693020574,"Nick Maton",21635,665155
"Alex Call","- - -","RF",375,,,,,-5,0,5,,0,,,,,,,,3,1,0.2295786438665075,"Alex Call",19296,669743
"José Azocar","- - -","RF",14,,,,,1,0,0,,1,,,,,,,,0,0,0.22889688832998764,"Jose Azocar",18821,640492
"MJ Melendez","KCR","RF",28,,,,,0,0,0,,0,,,,,,,,0,0,0.21836147343420434,"MJ Melendez",22197,669004
"Nick Sogard","BOS","RF",17,,,,,0,0,1,,1,,,,,,,,0,0,0.21778271855670603,"Nick Sogard",25483,686765
"Brandon Marsh","PHI","RF",3,,,,,0,0,0,,0,,,,,,,,0,0,0.19047079334686504,"Brandon Marsh",20202,669016
"Josh Smith","TEX","RF",48,,,,,0,0,-1,,-1,,,,,,,,-1,0,0.15278417906566977,"Josh Smith",26396,669701
"Jeff McNeil","NYM","RF",24,,,,,0,0,0,,0,,,,,,,,0,0,0.14926491685712717,"Jeff McNeil",15362,643446
"Amed Rosario","- - -","RF",14,,,,,0,0,0,,0,,,,,,,,0,0,0.13706227581917313,"Amed Rosario",15518,642708
"Cody Freeman","TEX","RF",22,,,,,0,0,0,,0,,,,,,,,0,0,0.1271399186526041,"Cody Freeman",25629,683227
"Cavan Biggio","KCR","RF",42,,,,,0,0,1,,1,,,,,,,,0,0,0.10961106056305303,"Cavan Biggio",19252,624415
"Nick Martini","COL","RF",98,,,,,2,2,-2,,2,,,,,,,,-1,0,0.10577860318373777,"Nick Martini",12005,605361
"Leo Rivas","SEA","RF",9,,,,,0,0,0,,0,,,,,,,,0,0,0.09401820917871337,"Leo Rivas",21009,660844
"Zach Cole","HOU","RF",47,,,,,0,0,0,,0,,,,,,,,0,0,0.0851860555195941,"Zach Cole",31583,805904
"Tyler Tolbert","KCR","RF",10,,,,,0,0,0,,0,,,,,,,,0,0,0.06316949658363644,"Tyler Tolbert",25779,686475
"Tim Tawa","ARI","RF",3.1,,,,,0,0,0,,0,,,,,,,,0,0,0.03853778894313833,"Tim Tawa",29571,694374
"Kevin Alcántara","CHC","RF",4,,,,,0,0,0,,0,,,,,,,,0,0,0.016443829628632507,"Kevin Alcantara",25971,682634
"Chandler Simpson","TBR","RF",2,,,,,0,0,0,,0,,,,,,,,0,0,0.012747186653612547,"Chandler Simpson",31912,802415
"Mark Canha","KCR","RF",60,,,,,0,0,-1,,-1,,,,,,,,0,0,0.0124574064755405,"Mark Canha",11445,592192
"Riley Greene","DET","RF",8,,,,,0,0,0,,0,,,,,,,,0,0,0.011502564163606462,"Riley Greene",25976,682985
"Greg Jones","CHW","RF",2,,,,,0,0,0,,0,,,,,,,,0,0,0.009637617070206168,"Greg Jones",25448,675659
"Christopher Morel","TBR","RF",12,,,,,0,0,0,,0,,,,,,,,0,0,0.004394301304523132,"Christopher Morel",21897,666624
"Harrison Bader","MIN","RF",41,,,,,0,0,0,,0,,,,,,,,0,0,0.004222310003511337,"Harrison Bader",18030,664056
"Mookie Betts","LAD","RF",1,,,,,0,0,0,,0,,,,,,,,0,0,0.0023718464974254267,"Mookie Betts",13611,605141
"Jacob Hurtubise","CIN","RF",1,,,,,0,0,0,,0,,,,,,,,0,0,0.0023718464974254267,"Jacob Hurtubise",27599,674441
"Drew Avans","ATH","RF",2,,,,,0,0,0,,0,,,,,,,,0,0,-0.0006563070051491503,"Drew Avans",25183,682183
"Enmanuel Valdez","PIT","RF",0.1,,,,,0,0,0,,0,,,,,,,,,,-0.0017146755447854994,"Enmanuel Valdez",21716,665839
"Jake Mangum","TBR","RF",221.2,,,,,0,0,2,,2,,,,,,,,1,1,-0.0017959545872150429,"Jake Mangum",26202,663968
"Bryan De La Cruz","ATL","RF",1,,,,,0,0,0,,0,,,,,,,,0,0,-0.001834586676206253,"Bryan De La Cruz",19600,650559
"Eric Wagaman","MIA","RF",12,,,,,0,0,0,,0,,,,,,,,0,0,-0.0019610605467258735,"Eric Wagaman",23395,676572
"Billy Cook","PIT","RF",3,,,,,0,0,0,,0,,,,,,,,0,0,-0.0041857562807972384,"Billy Cook",29573,695257
"Max Schuemann","ATH","RF",2,,,,,0,0,0,,0,,,,,,,,0,0,-0.004832396382632449,"Max Schuemann",24488,680474
"Jon Berti","CHC","RF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Jon Berti",12037,542932
"Dominic Smith","SFG","RF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Dominic Smith",15653,642086
"Oswaldo Cabrera","NYY","RF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Oswaldo Cabrera",21707,665828
"Jordyn Adams","BAL","RF",4,,,,,0,0,0,,0,,,,,,,,0,0,-0.007303491239112444,"Jordyn Adams",23788,677941
"Spencer Steer","CIN","RF",2,,,,,0,0,0,,0,,,,,,,,,,-0.010288064,"Spencer Steer",26323,668715
"Jonatan Clase","TOR","RF",6,,,,,0,0,0,,0,,,,,,,,0,0,-0.012768921015447462,"Jonatan Clase",26599,682729
"CJ Alexander","ATH","RF",4,,,,,0,0,0,,0,,,,,,,,0,0,-0.012861422595745492,"CJ Alexander",20557,680769
"Scott Kingery","LAA","RF",3,,,,,0,0,0,,0,,,,,,,,,,-0.015432096,"Scott Kingery",17975,664068
"José Barrero","STL","RF",3,,,,,0,0,0,,0,,,,,,,,,,-0.015432096,"Jose Barrero",23378,676480
"Colton Cowser","BAL","RF",7,,,,,0,0,0,,0,,,,,,,,0,0,-0.01579707451802204,"Colton Cowser",29591,681297
