Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Nathan Church","STL","LF",13,,,,,0,0,1,,1,,,,,,,,0,0,0.4071081150742829,"Nathan Church",31357,701675
"Brandon Lockridge","- - -","LF",147.1,,,,,0,1,-1,,0,,,,,,,,1,1,0.4005532663868959,"Brandon Lockridge",21496,663604
"Rhylan Thomas","SEA","LF",3,,,,,0,0,1,,1,,,,,,,,0,0,0.38755349633986347,"Rhylan Thomas",31793,689041
"Blake Dunn","CIN","LF",46.1,,,,,0,0,1,,1,,,,,,,,0,0,0.3724812783444873,"Blake Dunn",29487,694362
"Anthony Santander","TOR","LF",58,,,,,0,0,2,,2,,,,,,,,0,1,0.348194455334606,"Anthony Santander",14551,623993
"Miles Mastrobuoni","SEA","LF",41,,,,,0,0,2,,2,,,,,,,,1,0,0.3344485338600395,"Miles Mastrobuoni",20017,670156
"DaShawn Keirsey Jr.","MIN","LF",66,,,,,0,0,1,,1,,,,,,,,1,0,0.30208251573271167,"DaShawn Keirsey Jr.",24496,680577
"Victor Mesa Jr.","MIA","LF",28,,,,,0,0,0,,0,,,,,,,,0,0,0.28793931432363906,"Victor Mesa Jr.",25999,683748
"Carlos Cortes","ATH","LF",51,,,,,-1,2,1,,2,,,,,,,,1,0,0.25927588260615536,"Carlos Cortes",21842,666126
"Austin Slater","- - -","LF",126,,,,,0,0,1,,1,,,,,,,,1,1,0.24009392201256852,"Austin Slater",16153,596103
"Zac Veen","COL","LF",40,,,,,0,0,1,,1,,,,,,,,0,0,0.21226044270124278,"Zac Veen",27770,691728
"Tyler Wade","SDP","LF",82.2,,,,,0,0,0,,0,,,,,,,,0,0,0.21157493963228347,"Tyler Wade",15730,642180
"Iván Herrera","STL","LF",31,,,,,0,0,0,,0,,,,,,,,0,0,0.20371701863723132,"Ivan Herrera",20599,671056
"Tyrone Taylor","NYM","LF",23,,,,,0,0,1,,1,,,,,,,,0,0,0.19574056767571088,"Tyrone Taylor",13675,621438
"Chas McCormick","HOU","LF",68.2,,,,,0,0,0,,0,,,,,,,,0,0,0.17538073111966596,"Chas McCormick",19599,676801
"Mickey Gasper","MIN","LF",4,,,,,0,0,1,,1,,,,,,,,0,0,0.16291908003784286,"Mickey Gasper",24759,681508
"Jesús Sánchez","- - -","LF",191,,,,,2,0,1,,3,,,,,,,,0,1,0.1426743578602605,"Jesus Sanchez",19913,660821
"Luis Rengifo","LAA","LF",2.2,,,,,0,0,0,,0,,,,,,,,0,0,0.11024049626384638,"Luis Rengifo",19858,650859
"Nate Eaton","BOS","LF",13,,,,,0,0,0,,0,,,,,,,,0,0,0.10765413204541757,"Nate Eaton",25055,681987
"Blaze Alexander","ARI","LF",7,,,,,0,2,0,,2,,,,,,,,0,0,0.10427097894331264,"Blaze Alexander",23789,677942
"Oscar Gonzalez","SDP","LF",96,,,,,0,-1,0,,-1,,,,,,,,1,0,0.10415825348471575,"Oscar Gonzalez",20970,660757
"Ryan Vilade","- - -","LF",5,,,,,0,0,0,,0,,,,,,,,0,0,0.08249481777922016,"Ryan Vilade",22165,668723
"Vidal Bruján","CHC","LF",9,,,,,0,0,0,,0,,,,,,,,0,0,0.08034173614320048,"Vidal Brujan",20536,660644
"Dustin Harris","TEX","LF",55,,,,,0,0,1,,1,,,,,,,,0,0,0.07270173785314216,"Dustin Harris",25705,687957
"Grant McCray","SFG","LF",13,,,,,0,0,0,,0,,,,,,,,0,0,0.06811257839712001,"Grant McCray",25690,687529
"Kameron Misner","TBR","LF",29,,,,,0,0,0,,0,,,,,,,,0,0,0.06208638186516888,"Kameron Misner",26374,670224
"Daz Cameron","MIL","LF",33,,,,,0,0,0,,0,,,,,,,,0,0,0.05457899909044034,"Daz Cameron",18353,663662
"Randal Grichuk","- - -","LF",97,,,,,0,0,0,,0,,,,,,,,0,0,0.044080781385573475,"Randal Grichuk",10243,545341
"Willi Castro","- - -","LF",261.2,,,,,1,0,0,,1,,,,,,,,0,1,0.04389140926160384,"Willi Castro",17338,650489
"Jacob Hurtubise","CIN","LF",23,,,,,0,0,0,,0,,,,,,,,0,0,0.04334807896465956,"Jacob Hurtubise",27599,674441
"LaMonte Wade Jr.","LAA","LF",8,,,,,0,0,0,,0,,,,,,,,0,0,0.03947139681949645,"LaMonte Wade Jr.",18126,664774
"Jorge Mateo","BAL","LF",9,,,,,0,0,0,,0,,,,,,,,0,0,0.035599975404398625,"Jorge Mateo",17273,622761
"Joey Wiemer","MIA","LF",8,,,,,0,0,1,,1,,,,,,,,0,0,0.03165790539060477,"Joey Wiemer",27690,686894
"Jhostynxon Garcia","BOS","LF",10,,,,,0,0,0,,0,,,,,,,,0,0,0.026835926857554107,"Jhostynxon Garcia",28142,691373
"Daniel Schneemann","CLE","LF",30,,,,,0,0,0,,0,,,,,,,,0,0,0.024753049872097338,"Daniel Schneemann",25180,682177
"Brandon Marsh","PHI","LF",338,,,,,1,-1,-1,,-1,,,,,,,,1,1,0.01946726450245917,"Brandon Marsh",20202,669016
"Jarred Kelenic","ATL","LF",2.1,,,,,0,0,0,,0,,,,,,,,0,0,0.016089406345390606,"Jarred Kelenic",22558,672284
"Coco Montes","TBR","LF",3,,,,,0,0,0,,0,,,,,,,,0,0,0.0009032301134865098,"Coco Montes",21547,663796
"Leo Rivas","SEA","LF",0.1,,,,,0,0,0,,0,,,,,,,,,,-0.0017146755447854994,"Leo Rivas",21009,660844
"Andy Ibáñez","DET","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Andy Ibanez",18819,628451
"William Contreras","MIL","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"William Contreras",20503,661388
"Oswaldo Cabrera","NYY","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Oswaldo Cabrera",21707,665828
"Tyler Freeman","COL","LF",1,,,,,0,0,0,,0,,,,,,,,,,-0.005144032,"Tyler Freeman",22532,671289
