Position	Name	Range/Blocking	Error/Framing	Arm	Turn DP	Games	W	L	Runs scored	Runs allowed	winpct	run score/G	run conc/G	win/162 delta	run/162 delta
3B	RNG75xERR55xARM55xTDP50	75	55	55	50	100000	50857	49143	433144	425103	50.86%	4.33	4.25	1.15	14.4
3B	RNG55xERR40xARM55xTDP50	55	40	55	50	100000	50006	49994	435390	436298	50.01%	4.35	4.36	-0.23	-3.7
3B	RNG55xERR50xARM55xTDP50	55	50	55	50	100000	49615	50385	434774	436915	49.62%	4.35	4.37	-0.86	-4.7
3B	RNG55xERR60xARM55xTDP50	55	60	55	50	100000	49770	50230	432854	435141	49.77%	4.33	4.35	-0.61	-1.9
3B	RNG55xERR65xARM55xTDP50	55	65	55	50	100000	50310	49690	435536	433651	50.31%	4.36	4.34	0.26	0.6
3B	RNG55xERR70xARM55xTDP50	55	70	55	50	100000	50119	49881	434527	432703	50.12%	4.35	4.33	-0.05	2.1
3B	RNG55xERR75xARM55xTDP50	55	75	55	50	100000	50350	49650	433341	431901	50.35%	4.33	4.32	0.33	3.4
3B	RNG55xERR55xARM40xTDP50	55	55	40	50	100000	49638	50362	436075	440118	49.64%	4.36	4.40	-0.83	-9.9
3B	RNG55xERR55xARM50xTDP50	55	55	50	50	100000	49578	50422	432616	437053	49.58%	4.33	4.37	-0.92	-5.0
3B	RNG55xERR55xARM60xTDP50	55	55	60	50	100000	50410	49590	433774	429569	50.41%	4.34	4.30	0.43	7.2
3B	RNG55xERR55xARM70xTDP50	55	55	70	50	100000	50789	49211	432893	425774	50.79%	4.33	4.26	1.04	13.3
3B	RNG55xERR55xARM75xTDP50	55	55	75	50	100000	50711	49289	433644	425148	50.71%	4.34	4.25	0.91	14.3
3B	RNG55xERR55xARM55xTDP75	55	55	55	75	100000	50026	49974	434271	433883	50.03%	4.34	4.34	-0.20	0.2
3B	RNG70xERR70xARM55xTDP50	70	70	55	50	100000	50871	49129	433194	424139	50.87%	4.33	4.24	1.17	16.0
3B	RNG70xERR55xARM70xTDP50	70	55	70	50	100000	50829	49171	434495	425892	50.83%	4.34	4.26	1.10	13.1
3B	RNG55xERR70xARM70xTDP50	55	70	70	50	100000	51063	48937	434675	424321	51.06%	4.35	4.24	1.48	15.7
3B	RNG60xERR65xARM70xTDP50	60	65	70	50	100000	50911	49089	433869	423964	50.91%	4.34	4.24	1.24	16.2
3B	RNG60xERR55xARM70xTDP50	60	55	70	50	100000	50904	49096	435636	426461	50.90%	4.36	4.26	1.23	12.2
3B	RNG60xERR65xARM55xTDP50	60	65	55	50	100000	50595	49405	433601	429364	50.60%	4.34	4.29	0.73	7.5
3B	RNG55xERR65xARM70xTDP50	55	65	70	50	100000	51063	48937	434635	423709	51.06%	4.35	4.24	1.48	16.7
3B	RNG60xERR55xARM60xTDP50	60	55	60	50	100000	51105	48895	435662	425966	51.11%	4.36	4.26	1.55	13.0
CF	Baseline	60	60	55	N/A	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
CF	RNG40xERR60xARM55	40	60	55	N/A	100000	49240	50760	436311	442782	49.24%	4.36	4.43	-1.47	-14.2
CF	RNG50xERR60xARM55	50	60	55	N/A	100000	49164	50836	434298	441701	49.16%	4.34	4.42	-1.59	-12.5
CF	RNG70xERR60xARM55	70	60	55	N/A	100000	51998	48002	434059	414492	52.00%	4.34	4.14	3.00	31.6
CF	RNG75xERR60xARM55	75	60	55	N/A	100000	51946	48054	434488	414520	51.95%	4.34	4.15	2.91	31.5
CF	RNG60xERR40xARM55	60	40	55	N/A	100000	49934	50066	434665	436368	49.93%	4.35	4.36	-0.35	-3.8
CF	RNG60xERR50xARM55	60	50	55	N/A	100000	50079	49921	433588	433833	50.08%	4.34	4.34	-0.11	0.3
CF	RNG60xERR70xARM55	60	70	55	N/A	100000	50054	49946	434073	433812	50.05%	4.34	4.34	-0.15	0.3
CF	RNG60xERR75xARM55	60	75	55	N/A	100000	49858	50142	433851	434401	49.86%	4.34	4.34	-0.47	-0.7
CF	RNG60xERR60xARM40	60	60	40	N/A	100000	49466	50534	434354	439010	49.47%	4.34	4.39	-1.10	-8.1
CF	RNG60xERR60xARM50	60	60	50	N/A	100000	49648	50352	432906	437551	49.65%	4.33	4.38	-0.81	-5.8
CF	RNG60xERR60xARM70	60	60	70	N/A	100000	50116	49884	432836	430887	50.12%	4.33	4.31	-0.05	5.0
