position,name,rng,err,arm,tdp,delta
C,BLK55xFRM65xARM50,55,65,50,,7.1
C,BLK55xFRM70xARM50,55,70,50,,8.2
C,BLK55xFRM75xARM50,55,75,50,,6.8
C,BLK55xFRM80xARM50,55,80,50,,6.0
C,BLK70xFRM40xARM50,70,40,50,,-19.0
C,BLK70xFRM45xARM50,70,45,50,,-11.1
C,BLK70xFRM50xARM50,70,50,50,,-2.5
C,BLK70xFRM55xARM50,70,55,50,,-0.6
C,BLK70xFRM60xARM50,70,60,50,,5.1
C,BLK70xFRM65xARM50,70,65,50,,10.5
C,BLK70xFRM70xARM50,70,70,50,,10.9
C,BLK70xFRM75xARM50,70,75,50,,9.2
C,BLK70xFRM80xARM50,70,80,50,,10.9
C,BLK70xFRM70xARM70,70,70,70,,12.1
